isco_code,anzsco_code,anzsco_title,match_quality
0110,111212,Defence Force Senior Officer,partial
0110,139111,Commissioned Defence Force Officer,exact
0210,139211,Senior Non-commissioned Defence Force Member,exact
0310,441111,Defence Force Member - Other Ranks,exact
1111,111311,Local Government Legislator,exact
1111,111312,Member of Parliament,exact
1111,111399,Legislators nec,exact
1112,111111,Chief Executive or Managing Director,partial
1112,111211,Corporate General Manager,partial
1112,139999,Specialist Managers nec,partial
1114,111111,Chief Executive or Managing Director,partial
1114,111211,Corporate General Manager,partial
1120,111111,Chief Executive or Managing Director,partial
1120,111211,Corporate General Manager,partial
1211,132111,Corporate Services Manager,partial
1211,132211,Finance Manager,exact
1211,221211,Company Secretary,exact
1211,221212,Corporate Treasurer,exact
1212,132311,Human Resource Manager,partial
1213,132411,Policy and Planning Manager,exact
1213,139914,Quality Assurance Manager,partial
1219,132111,Corporate Services Manager,partial
1219,139999,Specialist Managers nec,partial
1219,149212,Customer Service Manager,partial
1219,149913,Facilities Manager,partial
1221,131112,Sales and Marketing Manager,partial
1222,131113,Advertising Manager,exact
1222,131114,Public Relations Manager,exact
1223,132511,Research and Development Manager,exact
1311,121211,Cotton Grower,partial
1311,121212,Flower Grower,partial
1311,121213,Fruit or Nut Grower,partial
1311,121214,"Grain, Oilseed or Pasture Grower  / Field Crop Grower",partial
1311,121215,Grape Grower,partial
1311,121216,Mixed Crop Farmer,partial
1311,121217,Sugar Cane Grower,partial
1311,121221,Vegetable Grower (Aus) / Market Gardener (NZ),partial
1311,121299,Crop Farmers nec,partial
1311,121311,Apiarist,partial
1311,121312,Beef Cattle Farmer,partial
1311,121313,Dairy Cattle Farmer,partial
1311,121314,Deer Farmer,partial
1311,121315,Goat Farmer,partial
1311,121316,Horse Breeder,partial
1311,121317,Mixed Livestock Farmer,partial
1311,121318,Pig Farmer,partial
1311,121321,Poultry Farmer,partial
1311,121322,Sheep Farmer,partial
1311,121399,Livestock Farmers nec,partial
1311,121411,Mixed Crop and Livestock Farmer,partial
1311,133511,Production Manager (Forestry),exact
1312,121111,Aquaculture Farmer,partial
1321,133411,Manufacturer,exact
1321,133512,Production Manager (Manufacturing),partial
1321,149999,"Hospitality, Retail and Service Managers nec",partial
1322,133513,Production Manager (Mining),exact
1323,133111,Construction Project Manager,exact
1323,133112,Project Builder,partial
1323,224511,Land Economist,partial
1324,133311,Importer or Exporter,exact
1324,133611,Supply and Distribution Manager,exact
1324,133612,Procurement Manager,exact
1324,149411,Fleet Manager,exact
1324,149412,Railway Station Manager,exact
1324,149413,Transport Company Manager,exact
1330,135111,Chief Information Officer,partial
1330,135112,ICT Project Manager,exact
1330,135199,ICT Managers nec,partial
1341,134111,Child Care Centre Manager,exact
1341,241111,Early Childhood (Pre-primary School) Teacher,partial
1342,134211,Medical Administrator / Medical Superintendent,exact
1342,134212,Nursing Clinical Director,partial
1342,134213,Primary Health Organisation Manager,partial
1342,134299,Health and Welfare Service Managers nec,partial
1342,512211,Health Practice Manager,partial
1343,134212,Nursing Clinical Director,partial
1343,134213,Primary Health Organisation Manager,partial
1343,134299,Health and Welfare Service Managers nec,partial
1343,141912,Retirement Village Manager,exact
1343,254311,Nurse Manager,partial
1344,134213,Primary Health Organisation Manager,partial
1344,134214,Welfare Centre Manager,exact
1344,134299,Health and Welfare Services Managers nec,partial
1345,134311,School Principal,partial
1345,134411,Faculty Head,exact
1345,134412,Regional Education Manager,exact
1345,134499,Education Managers nec,exact
1346,149914,Financial Institution Branch Manager,exact
1349,133211,Engineering Manager,exact
1349,139112,Commissioned Fire Officer,exact
1349,139113,Commissioned Police Officer,exact
1349,139911,Arts Administrator or Manager,exact
1349,139912,Environmental Manager,exact
1349,139913,Laboratory Manager,exact
1349,139915,Sports Administrator,exact
1349,139999,Specialist Managers nec,partial
1349,224611,Librarian,partial
1411,141311,Hotel or Motel Manager,exact
1411,141999,Accommodation and Hospitality Managers nec,partial
1411,149999,"Hospitality, Retail and Service Managers nec",partial
1411,431411,Hotel Service Manager,partial
1412,141111,Cafe or Restaurant Manager,partial
1412,142111,Retail Manager (General),partial
1420,133312,Wholesaler,exact
1420,142111,Retail Manager (General),partial
1420,142112,Antique Dealer,partial
1420,142113,Betting Agency Manager,partial
1420,142114,Hair or Beauty Salon Manager,partial
1420,142115,Post Office Manager,partial
1431,149111,Amusement Centre Manager,exact
1431,149112,Fitness Centre Manager,exact
1431,149113,Sports Centre Manager,exact
1431,149912,Cinema or Theatre Manager,exact
1439,141211,Caravan Park and Camping Ground Manager,exact
1439,141411,Licensed Club Manager,exact
1439,141999,Accommodation and Hospitality Managers nec,partial
1439,142116,Travel Agency Manager,exact
1439,149211,Call or Contact Centre Manager,exact
1439,149212,Customer Service Manager,partial
1439,149911,Boarding Kennel or Cattery Operator,exact
1439,149913,Facilities Manager,partial
1439,149915,Equipment Hire Manager,exact
1439,149999,"Hospitality, Retail and Service Managers nec",partial
